id,en,cn
12sigma,"(<span class=""show4ierr1 show4ierr3 hide4ierr2 hide4ierr4"">1</span><span class=""show4ierr2 show4ierr4 hide4ierr1 hide4ierr3"">2</span>&sigma;<span class=""show4ierr3 show4ierr4 hide4ierr1 hide4ierr2"">%</span>)","(<span class=""show4ierr1 show4ierr3 hide4ierr2 hide4ierr4"">1</span><span class=""show4ierr2 show4ierr4 hide4ierr1 hide4ierr3"">2</span>&sigma;<span class=""show4ierr3 show4ierr4 hide4ierr1 hide4ierr2"">%</span>)"
ArAr_err_3640,Analytical uncertainty of the <sup>36</sup>Ar/<sup>40</sup>Ar-ratios ,
ArAr_3936,Measured <sup>39</sup>Ar/<sup>36</sup>Ar-ratios.,
ArAr_err_3936,Analytical uncertainty of the <sup>39</sup>Ar/<sup>36</sup>Ar-ratios ,
ArAr_4036,Measured <sup>40</sup>Ar/<sup>36</sup>Ar-ratios.,
ArAr_err_4036,Analytical uncertainty of the <sup>40</sup>Ar/<sup>36</sup>Ar-ratios ,
ArAr_rho_0696,Error correlation between the <sup>40</sup>Ar/<sup>36</sup>Ar- and <sup>39</sup>Ar/<sup>36</sup>Ar-ratios.,
ArAr_rho_6090,Error correlation between the <sup>36</sup>Ar/<sup>40</sup>Ar- and <sup>39</sup>Ar/<sup>40</sup>Ar-ratios (optional).,
ArAr_39,"Amount of <sup>39</sup>Ar in each heating step, which will be normalised to form the X-axis of the age spectrum (optional).",
ArAr-C,Optional variable to be used as fill colours in isochron and radial plots.,
ArAr-omit,"Optional variable used to hide or ignore aliquots. Aliquots marked as (lowercase) '<tt>x</tt>' are plotted (except on KDEs and CADs) but ignored for numerical analysis; Aliquots marked as (uppercase) '<tt>X</tt>' are removed from both plots and calculations.
    ",
ArAr_redundancy,<tt>IsoplotR</tt> uses the redundancy of the three ratios to calculate the correlation between their respective analytical uncertainties.,
average_intro,"Let t = {t<sub>1</sub>, ..., t<sub>n</sub>} be a set of n age estimates determined on different aliquots of the same sample, and let s[t<sub>1</sub>], ..., s[t<sub>n</sub>]} be their analytical uncertainties (standard errors). <tt>IsoplotR</tt> implements two ways to compute the average of these data:

<ol>
<li>
  A random effects model with two sources of variance:
<p></p>
t<sub>i</sub> ~ <i>N</i>( &mu;, &sigma;<sup>2</sup> = s[t<sub>i</sub>]<sup>2</sup> + &omega;<sup>2</sup> ) <span class=""alignright"">(eq. 1a)</span>
<p></p>
where &mu; is the mean, &sigma;<sup>2</sup> is the total variance and &omega; is the 'overdispersion'. Equation 1a can be solved for &mu; and &omega; by the method of maximum likelihood.
</li><li>
A weighted mean algorithm that assumes that any dispersion between the different aliquots is only due to the analytical uncertainty:
<p></p>
<span style=""text-decoration: overline"">t</span> = &Sigma;(t<sub>i</sub>/s[t<sub>i</sub>]<sup>2</sup>)/&Sigma;(1/s[t<sub>i</sub>]<sup>2</sup>)<span class=""alignright"">(eq. 1b)</span>
<p></p>
</li>
</ol>

<tt>IsoplotR</tt> uses a modified version of Chauvenet's criterion for outlier detection:

<ol>
<li> Compute the error-weighted mean of the n age determinations t<sub>i</sub> using their analytical uncertainties s[t<sub>i</sub>] using one of the aforementioned two approaches.
</li><li>
For each t<sub>i</sub>, compute the probability p<sub>i</sub> that that |t-&mu;|>|t<sub>i</sub>-&mu;| for
<p> t ~ <i>N</i>(0,&Xi;<sup>2</sup>) <span class=""alignright"">(eq. 2)</span></p>
where &Xi; = &radic;<span style=""text-decoration: overline;"">s[t<sub>i</sub>]<sup>2</sup>+&omega;<sup>2</sup></span> if the random effects model is used; or &Xi; = s[<span style=""text-decoration: overline"">t</span>]&radic; <span style=""text-decoration: overline;"">MSWD</span> if the ordinary weighted mean is used.
</li>
<li>
Let p<sub>j</sub> &equiv; min(p<sub>1</sub>,&hellip;,p<sub>n</sub>). If p<sub>j</sub><0.05/n, then reject the j<sup>th</sup> date, reduce n by one (i.e., n &rarr; (n-1) and repeat steps 1 through 3 until the surviving dates pass the third step. </li>
</ol>

If the analytical uncertainties are small compared to the scatter between the dates, then this generalised algorithm reduces to the conventional Chauvenet criterion. If the analytical uncertainties are large and the data do not exhibit any overdispersion, then the heuristic outlier detection method is equivalent to Ludwig (2003)'s 'modified 2-sigma' method.",
legend,Legend:,
where,where:,
average_mu,the weighted mean age.,
average_mu-x,the standard error (&sigma;) of &mu;.,
average_mu-y,"the width of the 100(1-&alpha;)% confidence interval for &mu;. This is also shown as a grey band on the plot. The uncertainties associated with the random uncertainties are shown in dark grey, whereas the systematic uncertainties (i.e. J-factor and decay constant) are shown in light grey.",
average_mu-z,"the approximate 100(1-&alpha;)% confidence interval for t with overdispersion, calculated as z = y&Sqrt;MSWD (not reported for random effects models).",
average_mswd_x,the Mean Square of the Weighted Deviates (MSWD) for age homogeneity.  MSWD values >> 1 indicate that the ages are overdispersed with respect to the stated analytical uncertainties.,
average_mswd_y,the Chi-squared p-value for the age homogeneity test. p-values << 0.05 indicate that the ages are overdispersed with respect to the stated analytical uncertainties.,
average-dispersion,(only reported for random effects models),
average_omega,"the standard deviation of the true ages after removal of the analytical uncertainties. The dispersion is significantly greater than zero if the MSWD is significantly greater than one. The 100(1-&alpha;)% Normal confidence region for the dispersion (e.g., 1.96 &times; &omega; if &alpha; = 0.05) is shown as a set of dashed lines.",
average-u,width of the upper half of a (1-&alpha;)% confidence interval for &omega;.,
average_omega-l,width of the lower half of the (1-&alpha;)% confidence interval for &omega;.,
references,References:,
